user_id,date,role,department,n_events,cross_dept_ratio,n_distinct_patients,n_distinct_patient_depts,n_distinct_workstations,records_touched_sum,records_touched_max,export_ratio,search_ratio,peak_hour_events,burst_intensity,is_anomaly,attack_type,off_hours_ratio,new_workstation_ratio,rare_dept_ratio,z_n_events,z_n_distinct_patients,z_n_distinct_patient_depts,z_records_touched_sum,z_peak_hour_events,z_cross_dept_ratio
U0001,2026-08-01,lab_tech,radiology,16,0.25,16,4,1,16,1,0.0,0.0,8,0.5,False,,0.0,0.0,0.0,0.0963558227823707,0.0963558227823707,0.0,-0.2810378164485813,0.3372453797382976,-0.5805043421724794
U0002,2026-08-01,nurse,radiology,21,0.0476190476190476,20,2,1,27,4,0.0,0.0952380952380952,7,0.3333333333333333,False,,0.0,0.0,0.0476190476190476,-1.300803607562005,-1.3489815189531904,0.0,-0.8993210126354603,-1.1562698733884489,0.2229379815586711
U0003,2026-08-01,lab_tech,oncology,24,0.4166666666666667,24,5,1,24,1,0.0,0.0,9,0.375,False,,0.0,0.0,0.0,-0.224830253158865,-0.224830253158865,0.0,-1.0960474841494672,0.0,1.1650294936413916
U0004,2026-08-01,nurse,icu,19,0.0,19,1,1,30,12,0.0,0.0526315789473684,7,0.3684210526315789,False,,0.3684210526315789,0.0,0.0,-0.4496605063177301,-0.4496605063177301,-0.6744907594765952,-0.1498868354392434,-0.6744907594765952,-0.9523809523809524
U0005,2026-08-01,nurse,maternity,8,0.0,8,1,1,8,1,0.0,0.0,6,0.75,False,,0.0,0.0,0.0,-1.7344048100826734,-1.7344048100826734,-0.6744907594765952,-1.8885741265344669,-0.6744907594765952,-0.5
U0006,2026-08-01,physician,radiology,9,0.2222222222222222,9,3,1,11,3,0.0,0.0,8,0.8888888888888888,False,,0.0,0.0,0.2222222222222222,-1.011736139214893,-1.011736139214893,0.0,-0.9367927214952712,0.224830253158865,0.9587101361113868
U0006,2026-08-24,physician,radiology,55,0.5272727272727272,55,6,2,182,15,0.1454545454545454,0.1272727272727272,13,0.2363636363636363,True,credential_compromise,0.0363636363636363,0.6545454545454545,0.5272727272727272,4.496605063177301,4.496605063177301,2.023472278429786,15.513287467961687,2.4731327847475155,3.5675123600720906
U0007,2026-08-01,lab_tech,oncology,31,0.3548387096774194,31,6,1,31,1,0.0,0.0,15,0.4838709677419355,False,,0.0,0.0,0.0,0.8993210126354603,0.8993210126354603,0.6744907594765952,-0.134898151895319,4.721435316336167,0.217577664347289
U0008,2026-08-01,nurse,er,3,0.0,3,1,1,3,1,0.0,0.0,3,1.0,False,,0.0,0.0,0.0,-1.5176042088223392,-1.5176042088223392,-0.6744907594765952,-1.5898710759091172,-2.023472278429786,-0.4545454545454545
U0009,2026-08-01,lab_tech,er,10,0.3,10,3,1,12,3,0.0,0.0,9,0.9,False,,0.0,0.0,0.0,-1.1803588290840417,-1.1803588290840417,-1.3489815189531904,-1.3489815189531904,-0.4046944556859571,0.0924195849155161
U0011,2026-08-01,nurse,radiology,15,0.0,15,1,1,15,1,0.0,0.0,5,0.3333333333333333,False,,0.3333333333333333,0.0,0.0,-1.4988683543924337,-1.4988683543924337,-1.3489815189531904,-1.5738117721120557,-1.011736139214893,-0.6744907594765952
U0011,2026-08-17,nurse,radiology,45,0.2666666666666666,45,6,2,48,4,0.0,0.0222222222222222,10,0.2222222222222222,True,record_snooping,0.1111111111111111,0.0,0.2666666666666666,0.7358081012471948,0.7358081012471948,2.023472278429786,0.3679040506235974,-0.1686226898691488,2.9227932910652457
U0011,2026-08-18,nurse,radiology,63,0.1746031746031746,63,6,2,71,5,0.0,0.0158730158730158,15,0.238095238095238,True,record_snooping,0.0158730158730158,0.0,0.1746031746031746,1.839520253117987,1.839520253117987,2.023472278429786,1.7782029113473874,1.1241512657943251,1.6808737974258006
U0011,2026-08-19,nurse,radiology,54,0.2962962962962963,54,6,2,59,3,0.0,0.0,10,0.1851851851851851,True,record_snooping,0.2222222222222222,0.0,0.2962962962962963,1.287664177182591,1.287664177182591,2.023472278429786,1.0423948101001923,-0.1686226898691488,3.322491518903228
